Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.7467532467532467,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.8150000000000001
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963
SVM,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6,0.7963888888888889
Decision Tree,0.7467532467532467,0.7142857142857143,0.46296296296296297,0.5617977528089888,0.7904629629629629
