feature,importance
Glucose,0.2604733463540795
BMI,0.16582912028170235
Age,0.1280038799055086
DiabetesPedigreeFunction,0.12058058599357804
Insulin,0.09722424225086944
BloodPressure,0.08244778609591129
Pregnancies,0.07296068031965443
SkinThickness,0.07248035879869645
